Audit,ID,Status,Severity,Evidence,Action
Dataset manifest,0.1,BLOCKED,Critical,datasets unavailable: ['KSDD2'],resolve the download before proceeding; do not mark PASS
Exact duplicates,0.2,WARN,Critical,1 within-split duplicate images in 1 groups,report the count in the paper; force duplicates into the same fold in 0.6
Near duplicates,0.3,FAIL,High,985 CRITICAL near-duplicate pairs (distance<=4 or crossing class/split),"inspect the pairs manually; group them into the same fold in 0.6 or exclude them, and report the decision in the paper"
Label consistency,0.4,PASS,Critical,all class counts match the published figures,
KSDD2 official split,0.5,BLOCKED,Critical,KSDD2 not available in this environment,obtain the dataset from https://www.vicos.si/resources/kolektorsdd2/ and re-run
Fold leakage,0.6,PASS,Critical,no ID or SHA-256 overlap across train/val/test in 10 fold configurations; FINAL_TEST isolated from all development folds,
F4 index alignment,0.6b,FAIL,Critical,np.searchsorted without an equality check returns wrong rows when the prediction index is incomplete; reproduced above on emulated KSDD2 indices,replace with the equality-checked lookup and assert full index coverage
Backbone manifest,0.7,PASS,Critical,5 checkpoints resolved with explicit pretraining provenance (4 distinct supervision regimes),
Preprocessing,0.8,FAIL,Critical,5/5 checkpoints are fed preprocessing that does not match their own data config (F2 confirmed),"replace the hardcoded constants with per-backbone `resolve_model_data_config`: use each checkpoint's mean/std, bicubic resampling, and its crop_pct centre crop; document the DINOv2 position-embedding interpolation explicitly"
SDI-C visual audit,0.9,FAIL,High,"30 (image, family, severity) combinations failed implementation checks: [('MT::exp2_num_308043', 'brightness_drift', 5, ['saturated']), ('MT::exp1_num_51674', 'brightness_drift', 5, ['saturated']), ('MT::exp1_num_3667', 'brightness_drift', 5, ['saturated'])]",fix the corruption implementation before extraction
Severity monotonicity,0.10,FAIL,High,1 families non-monotone in their pre-declared metric: ['lens_contamination'],re-parameterise those severity ladders; do NOT swap in a different metric to make them pass
Quality -> label leakage,0.11,FAIL,Critical,quality descriptors alone reach balanced accuracy 0.909 (chance 0.167),"QCTS conditions on features that carry class information. Either (a) remove the offending descriptors and re-test, (b) residualise the descriptor against class using development data only, or (c) reframe the method honestly as quality-and-content-conditioned calibration and drop the label-agnostic claim"
QCTS sanity,0.12,PASS,Critical,"all four calibrators train stably on identical data; temperatures in [0.01, 3.87]; MLP-over-linear justified: False",report C4 as the primary formulation unless the full experiment shows the MLP earns its parameters
Bootstrap BCa claim,0.13a,FAIL,High,target notebook implements bias correction only (no jackknife acceleration) while claiming BCa; a corrected BCa is provided here (a=-0.01482 on the demo),"either adopt the corrected bootstrap_bca above, or relabel the intervals as bias-corrected percentile (BC) in the manuscript"
Feature-cache I/O efficiency,0.13b,WARN,Medium,"evaluate_cell calls run_cell per fold and run_cell reloads all 61 .npz files each time: 9,150 loads for the full grid","hoist the per-(dataset,backbone) cache above the fold loop; correctness unaffected but the stated runtime is not achievable without this"
